"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EIF4H",0.000850091806859032,0.417734722734771,0.537,0.428,1
"FICD",0.000858790286533055,4.96851422368144,0.331,0.125,1
"SARS",0.000867859882101936,3.29126921702933,0.537,0.389,1
"CFL1",0.000871674707646117,2.08509765821078,0.562,0.417,1
"DNAJC3",0.000878650352228709,4.44961877280413,0.463,0.333,1
"WBP2",0.000888208675848844,1.09498350647701,0.504,0.34,1
"ADGRF1",0.000911168907429772,104.32111208174,0.314,0.01,1
"VCP",0.000933135053425806,0.549335644781066,0.537,0.425,1
"GSTP1",0.000956852804446521,5.03961571949594,0.554,0.332,1
"COX5A",0.000958622306601941,1.95971585305731,0.306,0.407,1
"SRP19",0.000992759063664553,0.866407563239018,0.455,0.261,1
"CSNK2A1",0.00102464960104941,2.42353215049217,0.512,0.314,1
"SYF2",0.00103004466728707,4.617719467437,0.43,0.251,1
"TST",0.00103641741740204,7.25084888337254,0.372,0.114,1
"PCBP1",0.00104200671499047,0.93163812279431,0.554,0.42,1
"RPS21",0.00106415517107037,1.74204466942948,0.587,0.43,1
"NUS1",0.00107373968153198,3.44611253506754,0.355,0.177,1
"SGMS2",0.00107416127011693,0.922854224363789,0.364,0.175,1
"NDEL1",0.00111048859247334,2.08070798154747,0.331,0.156,1
"TSTD1",0.00111651904465246,0.314805243446241,0.298,0.39,1
"HIST1H1C",0.00112786151263541,73.5712137428251,0.132,0.168,1
"SPCS2",0.00117751482872925,4.11360271460835,0.504,0.406,1
"ATIC",0.00118149921529733,1.18206489420134,0.083,0.125,1
"PNPLA2",0.00119896207121235,0.839943902208321,0.471,0.274,1
"CRAT",0.00119989585035098,4.50315028385854,0.091,0.148,1
"STAU1",0.00122727196262379,2.57703429332786,0.512,0.336,1
"RBCK1",0.0012328478058995,9.4012458868784,0.43,0.268,1
"MLST8",0.00130783217737549,0.80837877721566,0.124,0.175,1
"SETX",0.00131942760945135,353.238550367263,0.314,0.139,1
"AREG",0.00135234924483609,1.63229267858007,0.281,0.031,1
"NEDD4L",0.00136737920243753,6.50312922618954,0.405,0.2,1
"DEK",0.00141339813459196,1.14664941643733,0.496,0.317,1
"WDR45B",0.00143914740817081,3.56556661275801,0.537,0.403,1
"RPL27A",0.00143942376831147,1.45145946409038,0.595,0.424,1
"WSB1",0.00145134820374476,12.0321335430777,0.504,0.374,1
"CAPN1",0.00148995006813653,1.0972868534142,0.545,0.367,1
"ITGA2",0.00152871695438981,5.00332816105782,0.38,0.159,1
"HNRNPH1",0.00153437227401713,7.53712941147049,0.463,0.262,1
"TMEM50B",0.00158292383468397,5.5266449698398,0.331,0.152,1
"UBA1",0.00170355306826855,0.874423300018956,0.545,0.412,1
"PTTG1IP",0.00175955005234902,0.611077190306698,0.554,0.385,1
"HM13",0.00177556992902775,1.25704517122274,0.512,0.395,1
"PDXK",0.00181426983413004,1.10220011847561,0.496,0.353,1
"RTN4",0.00182260585074073,0.403981291822364,0.545,0.424,1
"ATG13",0.00187712295612198,1.61554126305227,0.364,0.223,1
"TOMM20",0.00189270161549633,0.930759917013968,0.562,0.401,1
"RNF4",0.00192746515314951,2.20180699641556,0.347,0.163,1
"CMPK1",0.00196919350021673,3.02865735017693,0.521,0.301,1
"MRPL16",0.00197485216292661,0.590976266291302,0.074,0.116,1
"HNRNPUL2",0.00198275028747021,0.846179846448721,0.413,0.239,1
"PPM1G",0.00200599375722729,1.0244398405172,0.529,0.334,1
"ADAM17",0.00201538581164288,0.698322836156523,0.289,0.107,1
"GOT1",0.00208123565591051,6.11182831218135,0.298,0.115,1
"SHROOM3",0.00211587939773157,4.94235521979494,0.347,0.112,1
"TAF1D",0.00220808801722436,3.03999590438158,0.479,0.29,1
"ATL3",0.00225340436599478,4.91131727266183,0.405,0.208,1
"TWF2",0.00226846506201074,2.31463126699427,0.413,0.209,1
"TMOD3",0.00231363226940521,2.87289147323057,0.355,0.17,1
"TNKS2",0.00239892772866416,2.84235307275199,0.331,0.169,1
"PIH1D1",0.00243315850963961,0.768593663960735,0.372,0.201,1
"SCAMP2",0.00245833392022967,2.15815401640312,0.545,0.381,1
"COX7B",0.00253266511148552,0.795653126956806,0.554,0.419,1
"EIF3H",0.0025916123089072,1.10047959782761,0.521,0.402,1
"MACF1",0.00261143221632056,7.75174696534038,0.504,0.303,1
"EPB41L1",0.0026222722677161,13.903970951968,0.372,0.162,1
"PCNP",0.00267156430362215,0.922993349016292,0.488,0.355,1
"GDI2",0.00273561441609385,0.899330453522264,0.554,0.412,1
"RPL15",0.0027499259447017,2.00955988006636,0.554,0.43,1
"ATP5F1",0.00276933765664425,1.26532440556654,0.521,0.403,1
"RPL24",0.00277404226437207,1.43410057804014,0.545,0.42,1
"PGM3",0.00278650985205282,6.03590118671069,0.355,0.171,1
"ABCC3",0.00287783667409921,0.861909197980964,0.347,0.095,1
"RPS18",0.0029903841588175,1.13077481504988,0.496,0.379,1
"ALDH1A3",0.00300337447049191,73.0659545903035,0.289,0.066,1
"FGF19",0.00303169836018585,245.391915359109,0.306,0.008,1
"EBAG9",0.00314820219773535,1.00372506700747,0.339,0.144,1
"ST14",0.00319800284115112,0.299529929938814,0.512,0.341,1
"RAB39B",0.00340486997734918,8.3315444387165,0.248,0.066,1
"H1F0",0.00341705153299324,1.32007277328737,0.521,0.349,1
"PREB",0.00343437576216887,5.30737998002592,0.405,0.235,1
"SERPINB1",0.00344010030321064,1.94154658414945,0.38,0.253,1
"PVRL1",0.00351510250666561,3.63902586999579,0.124,0.192,1
"SMPDL3A",0.00358457434669613,2.88183956513588,0.281,0.095,1
"STX5",0.0036449286411985,5.14834596345335,0.364,0.187,1
"HNRNPF",0.00372200031370166,7.16597005432884,0.521,0.392,1
"CDKN2B",0.00372265917711967,22.1444302045059,0.273,0.062,1
"LPIN1",0.00381243904027441,19.1077587387601,0.19,0.217,1
"IST1",0.00391429386350282,2.79908993852952,0.512,0.349,1
"RPL13",0.00395219409162014,1.61893924241685,0.57,0.391,1
"SUCO",0.00398083666568035,25.2447014667182,0.355,0.206,1
"PLAT",0.00411003275244643,228.967921133627,0.314,0.041,1
"ZFAND1",0.0043355213439327,1.66617291424012,0.281,0.104,1
"RPL13AP17",0.00444453996156447,0.593843321809904,0.347,0.415,1
"ANXA11",0.00445798441976153,0.906070455011655,0.537,0.398,1
"NT5C3B",0.00454574804991495,3.73738554719847,0.182,0.242,1
"NCLN",0.0047358227675675,0.388068298790324,0.14,0.172,1
"BTBD1",0.00475061106723078,1.78678073953412,0.083,0.113,1
"HIPK1",0.00477259675602181,0.37103878976672,0.331,0.143,1
"STK17A",0.00483771285518119,25.0046414703081,0.289,0.091,1
"ARHGEF18",0.00490476097516483,1.13126273296856,0.306,0.115,1
"TFRC",0.00507185324960634,4.05852416779081,0.347,0.166,1
"CRELD2",0.00507418161022002,8.62713674113902,0.364,0.233,1
"YWHAG",0.00512271102758269,0.729499961605281,0.496,0.37,1
"RPS24",0.00521655168224811,2.04514779221205,0.521,0.424,1
"PARVA",0.00531922708951427,2.29150518884951,0.165,0.181,1
"ST13",0.00533534912640081,4.03677358652746,0.529,0.419,1
"SRP54",0.00534968186511054,0.413709691759903,0.405,0.256,1
"BET1L",0.00551028485443177,0.650300815141637,0.455,0.282,1
"PAK1",0.00557554479494513,0.509795412093155,0.339,0.147,1
"SERBP1",0.00576703058680929,0.794655240146495,0.521,0.402,1
"CNOT1",0.0058182062242858,0.27490545679696,0.413,0.243,1
"LMAN2",0.00583403527057156,0.625966672390199,0.562,0.415,1
"ABHD8",0.00591409578327785,0.584192056115363,0.066,0.101,1
"EIF4EBP1",0.00592044997013992,1.34203381662294,0.43,0.296,1
"GPS1",0.00595903845286298,1.32567909945642,0.149,0.188,1
"C6orf136",0.00601208624001005,10.2219995721379,0.107,0.159,1
"LDLR",0.00605121275867992,1.43375023834338,0.446,0.263,1
"COPA",0.00630568255822437,3.10808688182886,0.512,0.394,1
"RPL37",0.006366856651091,0.887382107941444,0.57,0.414,1
"RAB3GAP1",0.00639082942846481,0.88331070641998,0.438,0.286,1
"C16orf62",0.00639369694291297,0.774181770138615,0.074,0.121,1
"C1orf116",0.00650900326001627,7.09130765063379,0.281,0.07,1
"TRIM27",0.00655579413573751,4.70361397631564,0.38,0.217,1
"PSMD7",0.00656460143944816,2.67325774532257,0.488,0.372,1
"EDF1",0.00705352130648946,0.927479516678265,0.479,0.4,1
"UBE2D2",0.00733900467909564,0.27750442293767,0.504,0.398,1
"NOP10",0.00736461372933086,0.362232673975142,0.537,0.414,1
"GCC1",0.00774356663983462,8.12085876960915,0.248,0.074,1
"SEC61G",0.00797049507768309,1.41848464317407,0.488,0.396,1
"DDX17",0.00808529163374806,0.576473164676182,0.537,0.414,1
"YWHAB",0.00823885464585642,1.136291027704,0.488,0.411,1
"PPP2CB",0.0083475316611169,0.882591349030778,0.504,0.391,1
"NAP1L4",0.00847270917734737,1.60021451632942,0.455,0.289,1
"PLCD3",0.00854685041168718,19.197097217194,0.248,0.021,1
"ELOVL1",0.00863987461251941,5.00035617369541,0.471,0.305,1
"TJP1",0.00872858584298621,2.09099788417647,0.397,0.196,1
"RPL34",0.00919489174790049,0.995162628485751,0.521,0.421,1
"PAFAH1B1",0.00935906243245354,5.49656719013526,0.471,0.336,1
"CYB5A",0.00967394651424042,1.46412489488586,0.281,0.325,1
"MVP",0.00977679009953391,3.24340183503024,0.463,0.274,1
"ABI2",0.00995391574942073,1.38193764194539,0.207,0.281,1
"TSPYL2",0.0101192820039692,10.0473314888389,0.372,0.289,1
"COX7A2L",0.0102050588790058,1.94470395558318,0.554,0.422,1
"TBC1D15",0.0102531119902302,5.32597145478002,0.306,0.128,1
"RPS11",0.01038519611533,1.17131913375695,0.562,0.448,1
"S100A2",0.0104612681065082,354.074155208336,0.248,0.026,1
"MED15",0.0106013686573626,0.503368562752172,0.372,0.204,1
"DNAJC10",0.0106522117176615,4.42886960047332,0.355,0.21,1
"FEM1B",0.0107089581193635,2.31323211002339,0.331,0.187,1
"DVL2",0.0107940085939089,0.732422558192576,0.091,0.122,1
"MAP3K2",0.0111255284125984,4.42621619555194,0.43,0.269,1
"SNHG12",0.0112854144162485,6.08914862911606,0.264,0.1,1
"NCL",0.0113152470522949,1.31033315765568,0.488,0.386,1
"GRIPAP1",0.0115942185861501,1.91945381641586,0.066,0.1,1
"LSM10",0.0116774952659493,1.5132938900482,0.347,0.176,1
"PRKCZ",0.0117144027323128,0.59967352834958,0.248,0.072,1
"ASS1",0.0117150190002954,61.4589667366847,0.364,0.142,1
"JUND",0.0118699270237864,3.39020679964886,0.289,0.408,1
"COASY",0.0118767831704676,2.14336539060608,0.364,0.214,1
"ITGA6",0.0118898838381939,2.38641761498278,0.322,0.098,1
"CHTOP",0.0123449534329917,4.1350186298641,0.446,0.284,1
"ARPC5",0.0127024332718308,4.33072635359528,0.521,0.392,1
"RFWD2",0.0130595451193633,0.27941012174329,0.091,0.111,1
"NANS",0.013279564518926,0.478965252755482,0.372,0.235,1
"LYPLA2",0.0134840046283813,2.05654490983556,0.479,0.339,1
"UNC93B1",0.0136693126597684,10.534276234498,0.298,0.083,1
"DRAM2",0.0137337078785076,3.26640063615246,0.355,0.172,1
"NFE2L1",0.0138218866929358,1.17269867772743,0.43,0.356,1
"RPL41",0.014058271312303,0.840936922714198,0.521,0.411,1
"INA",0.0143593150301414,1.06842187030876,0.174,0.251,1
"F11R",0.0143814560780182,1.97281590756548,0.43,0.237,1
"YIPF5",0.0144273100474564,4.07839734606688,0.372,0.231,1
"TRA2B",0.0144436123015283,0.430712131884139,0.455,0.351,1
"TRAPPC4",0.0146135162556171,3.19947968824274,0.421,0.288,1
"MLH1",0.0147043976271413,6.50357087245363,0.273,0.113,1
"PKP3",0.0147119312300893,3.71648305754838,0.364,0.211,1
"RPL26",0.0147239930089908,0.797714286960814,0.504,0.413,1
"EDEM3",0.0149716212189973,6.7307904644645,0.347,0.226,1
"CLTB",0.0151083733203095,10.3992044480403,0.479,0.349,1
"SNRPA",0.0152097173423147,0.838823431632251,0.207,0.227,1
"G6PD",0.0153171242621252,0.890014354443005,0.215,0.246,1
"STRAP",0.0153992942281284,0.630133318253594,0.471,0.394,1
"RPL19",0.0162080719775689,1.16518946465387,0.512,0.433,1
"ZNF827",0.0162088902486564,4.70603355426256,0.083,0.119,1
"FOXA2",0.0164326101839073,7.58452619535125,0.298,0.35,1
"PKN2",0.0164475643488416,1.26535177258821,0.298,0.15,1
"PSMD10",0.0166212489260794,0.517037175694689,0.322,0.174,1
"CMTM4",0.0168363755078054,2.07482990864324,0.165,0.203,1
"PET100",0.0173287150888572,2.82714840837701,0.314,0.348,1
"RALY",0.0175298617520991,2.06602077877924,0.471,0.337,1
"MAPK3",0.0176047147545767,2.17935546102561,0.405,0.265,1
"GMPR2",0.0176568356158887,2.42086690380396,0.124,0.146,1
"DCTPP1",0.0177579283137866,0.877644041860489,0.132,0.143,1
"MPRIP",0.0181311431054944,3.35320735716774,0.38,0.199,1
"TMX2",0.0183770340760256,1.02467525031742,0.446,0.299,1
"TK2",0.0184522867484144,6.76046048426616,0.132,0.162,1
"FAM120A",0.0186648056626006,0.999590730236612,0.504,0.369,1
"UBE2I",0.0186833863904018,1.0400020496833,0.512,0.401,1
"ARPC1A",0.0186880340817428,0.347034458138996,0.504,0.395,1
"RPS27",0.0188682101723079,0.532356027491687,0.529,0.442,1
"APEH",0.018914193146352,0.546027404912222,0.174,0.206,1
"RPS15A",0.0189151346716748,0.909807083911398,0.488,0.429,1
"ZDHHC3",0.0193880988866445,1.05180054154016,0.339,0.154,1
"SIVA1",0.0196585373588179,1.8507991884421,0.463,0.341,1
"SPR",0.0197832585520015,0.989015486418464,0.19,0.195,1
"CEACAM1",0.0204927337253309,22.9743458051648,0.314,0.06,1
"EML2",0.0206210473395141,1.56718181187816,0.124,0.145,1
"ACP2",0.0209033443162396,2.29226172521481,0.157,0.19,1
"PPP3CC",0.0212731748040028,1.57309584577943,0.107,0.107,1
"CDK10",0.0217376333078243,3.01846273065321,0.099,0.116,1
"SEC23B",0.0217408167574528,1.119665763626,0.438,0.307,1
"UQCRFS1",0.022217379199105,1.18002276222086,0.479,0.363,1
"RXRB",0.0225503299226338,1.18816892805679,0.355,0.209,1
"FAM127C",0.0226007540417574,0.445157939803559,0.091,0.121,1
"SUOX",0.0226029486022786,1.3455942846935,0.083,0.106,1
"EIF3A",0.0226919869846923,2.70755498240927,0.512,0.358,1
"FAM83H",0.0232011847031641,2.05398925959084,0.314,0.125,1
"GRPEL1",0.0232832558270572,0.908434017865712,0.372,0.206,1
"PIK3IP1",0.0234028747744629,9.58908336509573,0.281,0.081,1
"EIF1AY",0.0234051374245506,2.34059456910714,0.314,0.169,1
"CARHSP1",0.023513942164791,2.66000613833901,0.463,0.308,1
"AMZ2",0.0238418413335489,2.97962118975662,0.322,0.19,1
"PAIP2",0.0244730862236274,0.450934837070399,0.471,0.351,1
"WHSC1L1",0.0248613645223946,0.828016482710251,0.397,0.258,1
"TMC6",0.0253808874959119,4.55307425756227,0.215,0.036,1
"CDKN1B",0.0254282488792094,0.939477536613415,0.289,0.158,1
"SPNS2",0.0256331380208013,19.762551725558,0.231,0.04,1
"UBE2Z",0.0259184295551385,1.82847722141956,0.248,0.265,1
"RAB25",0.0262976621237737,1.82623856890899,0.479,0.312,1
"SRSF3",0.0263627952859622,0.250771783588807,0.479,0.405,1
"SMAD2",0.026426808481763,1.84548068721085,0.339,0.182,1
"LAMTOR2",0.027119320030555,0.344695306186524,0.537,0.378,1
"GLRX3",0.027121888665999,0.9509110333875,0.355,0.204,1
"INF2",0.0273708734810019,1.36515744550583,0.273,0.079,1
"ARL8B",0.0273851248310258,0.749773496346788,0.38,0.242,1
"AP2A1",0.0273980850415515,0.350894617821509,0.223,0.256,1
"B3GNT3",0.0279129439236248,4.00718433007523,0.256,0.049,1
"SETD7",0.0280462622758368,1.08066570156048,0.306,0.155,1
"COQ10B",0.028176144725263,0.464640621384226,0.355,0.216,1
"MPC1",0.0283853010187402,1.44478026705973,0.372,0.228,1
"RFK",0.0287656953234439,0.795787083834568,0.397,0.277,1
"SEC63",0.0292957275712202,2.7327013633638,0.455,0.364,1
"CCT4",0.0292984744249454,0.729983078584612,0.463,0.374,1
"NR1D2",0.0299585125814607,0.544000783598678,0.281,0.104,1
"LAMA3",0.0301846347453511,5.52389966147161,0.207,0.024,1
"PTPRK",0.0304817812445882,2.39669328860367,0.314,0.121,1
"DDX5",0.030688419832139,5.79441832214023,0.554,0.426,1
"YTHDF3",0.0309293325113928,0.976639160849581,0.306,0.155,1
"LIMA1",0.0310879528490226,4.39812140715116,0.364,0.192,1
"EPS8",0.0319566174474006,0.604990994415147,0.281,0.058,1
"CHD6",0.0320410585019688,1.66516189442827,0.099,0.111,1
"B4GALT5",0.0324916434626558,1.1488649004139,0.364,0.19,1
"EPHA2",0.0325998640772158,27.5513210714961,0.248,0.051,1
"ATP13A2",0.0326375144643835,0.319082251660913,0.331,0.177,1
"SRP14",0.0330008479417752,0.500131200429831,0.488,0.434,1
"TMEM258",0.0331227249044354,1.88829814474529,0.488,0.41,1
"KIAA0368",0.0333522804907537,1.84612898997682,0.355,0.217,1
"YRDC",0.0336079101228047,0.783528888575806,0.314,0.19,1
"PDCD6",0.0336218190663759,1.38796363715144,0.488,0.389,1
"VILL",0.0336264526101378,1.52315196652047,0.223,0.012,1
"CGGBP1",0.0339446027180256,3.74399964403982,0.347,0.214,1
"APPL2",0.0343077536444554,3.72396699654776,0.298,0.149,1
"HGS",0.0347631773780828,3.02567707484067,0.405,0.252,1
"RPL17",0.0349161307681064,0.270488730616945,0.521,0.419,1
"KLHDC10",0.0350568370355936,3.43892751266495,0.38,0.257,1
"EPS8L3",0.0351450237223086,18.6883767365427,0.223,0.006,1
"NUDT2",0.03530101986318,7.20309171692839,0.347,0.192,1
"TMEM14C",0.0356245247778512,0.351758605791531,0.479,0.336,1
"REEP3",0.0358704421007116,1.26478037752496,0.397,0.264,1
"SF3B5",0.0362329726573788,0.58178927224873,0.471,0.417,1
"BAG1",0.036733419500594,0.866150175713957,0.471,0.404,1
"PKIB",0.0378356698433347,7.84361847606168,0.314,0.171,1
"DAPK1",0.0380034957079111,1.547087003937,0.306,0.125,1
"TUBA4A",0.0390641842968797,4.83060103557483,0.471,0.368,1
"SC5D",0.0399579441252263,6.1128704465018,0.314,0.171,1
"PPP2R2A",0.0400816443335801,1.69176474716959,0.38,0.2,1
"RAP1B",0.0404583147100706,6.40161848763889,0.455,0.327,1
"RPLP2",0.0408598739718369,1.77758533963623,0.471,0.431,1
"SCCPDH",0.0416657018333198,1.29600334823231,0.198,0.21,1
"PRADC1",0.0416768325705267,1.76373116014937,0.099,0.12,1
"PROSER2",0.0426776725307939,4.46333993174554,0.231,0.04,1
"RPL32",0.0430615347027924,0.850722061153682,0.512,0.414,1
"SLC7A1",0.0436273547503935,5.00302948846352,0.38,0.255,1
"NOP58",0.043801222564586,1.84303962924962,0.273,0.138,1
"RPL13A",0.0449358089541977,0.879458753875308,0.479,0.393,1
"APRT",0.0449813046810966,0.914387147499301,0.314,0.356,1
"RPL11",0.0458250305977158,0.742427966089367,0.554,0.432,1
"EPS8L1",0.0459659258638118,3.21555369360388,0.215,0.018,1
"HAX1",0.0459780243967917,3.47373787511738,0.496,0.406,1
"ADIPOR1",0.0466555065406354,1.15456747469092,0.471,0.375,1
"CHMP2B",0.047513118924386,1.45217870164664,0.405,0.24,1
"AHCYL1",0.0479917912100374,0.432585205379155,0.479,0.418,1
"YIPF3",0.0483566010609097,1.72992139172965,0.479,0.413,1
"SPIRE1",0.0488254250865257,1.57330158056321,0.248,0.12,1
"HSPA13",0.0502005742609737,0.28074975886941,0.314,0.191,1
"RPL31",0.0503853449370018,0.801318480920268,0.496,0.444,1
"LLGL2",0.0508026037776124,0.788025446666574,0.455,0.311,1
"UGP2",0.0509628418940886,0.82859202902467,0.347,0.188,1
"MED6",0.0509826258785753,2.06055236498763,0.124,0.114,1
"RPL27",0.0510618344946931,0.468939405547988,0.463,0.414,1
"DDRGK1",0.0511587758526231,1.29308780240677,0.281,0.293,1
"GTPBP6",0.0512227541193996,0.278533119555103,0.165,0.171,1
"FOXA3",0.0515614101009986,1.73627472223467,0.124,0.115,1
"PAIP1",0.0516013763598503,9.64201744263257,0.388,0.248,1
"NUPL1",0.0525074606339873,2.20793529760088,0.248,0.127,1
"PITRM1",0.053493152541269,1.78598429408367,0.331,0.205,1
"MPHOSPH8",0.0545686782472902,4.70266338544878,0.273,0.316,1
"STARD10",0.0549772093544408,0.285946272615475,0.496,0.389,1
"MTIF3",0.0552658691541462,1.37840932903916,0.364,0.205,1
"CNOT7",0.0560204058735444,0.652321055879712,0.488,0.379,1
"TRIP6",0.0562945089345349,9.4725378157985,0.298,0.11,1
"UBL3",0.056308842840925,0.541459971802059,0.397,0.272,1
"TIMM50",0.0572251512069476,2.26651935975645,0.149,0.16,1
"MTMR2",0.058789780305092,1.19657929689542,0.107,0.119,1
"TPCN1",0.0596792743611427,1.3271612702842,0.124,0.117,1
"NSRP1",0.0598650424599055,2.95280112663053,0.19,0.199,1
"VPS35",0.0606281526000628,0.540171802738663,0.43,0.298,1
"RPS8",0.0617182846551577,1.40683845305486,0.479,0.396,1
"SLC25A1",0.0618085628349375,1.22589627354954,0.347,0.342,1
"RUVBL1",0.0619816897947451,1.01997265370963,0.132,0.155,1
"CISD2",0.0633022029994404,2.97563223620882,0.38,0.243,1
"RAB21",0.0638755905822928,0.373963268641642,0.43,0.308,1
"ATP13A3",0.0639764392027013,0.384254777611629,0.413,0.296,1
"NR3C1",0.0651402871946581,0.9244788562427,0.438,0.319,1
"DOK4",0.0655212588475807,3.03474736583844,0.314,0.128,1
"MSLN",0.0659203971744446,75.517130075871,0.24,0,1
"URI1",0.0662203848080778,8.79167018146145,0.339,0.207,1
"PQBP1",0.0665516670513796,0.29037275295894,0.24,0.25,1
"LMAN1",0.0668788051985199,5.29732229396463,0.438,0.376,1
"UAP1",0.0679295221258975,1.80224116471964,0.248,0.117,1
"C17orf59",0.0681026929748349,0.743107921584307,0.198,0.076,1
"AZI2",0.0681558351131469,3.47938836541858,0.289,0.165,1
"CYP4V2",0.0697545832695197,2.65214262282948,0.116,0.115,1
"ZBTB17",0.0698059277143928,1.46205723439777,0.099,0.1,1
"TMPRSS4",0.0700745627211555,233.40796458636,0.207,0.001,1
"POLR2D",0.0719320590813737,8.86493534628534,0.124,0.106,1
"TEN1",0.0720432562957783,0.55941910359354,0.116,0.1,1
"CUL3",0.0725512801997947,0.347226763343675,0.322,0.178,1
"ACOT9",0.0726691568797506,2.85559780145427,0.107,0.08,1
"AUP1",0.0729941345905851,1.58528731840194,0.512,0.379,1
"TMEM106B",0.0736804491112289,0.652251124568559,0.347,0.225,1
"OTUD7B",0.073898429084137,13.4125217292829,0.231,0.096,1
"RBFOX2",0.0741289281727852,6.17573773426793,0.364,0.233,1
"PLLP",0.075105256019001,1.48607853683848,0.215,0.042,1
"KIF21A",0.0753145311330558,0.647763485300399,0.339,0.215,1
"RPL18",0.0754421520960814,1.03511615463142,0.479,0.41,1
"ESRRA",0.0757985803835143,1.88477878812437,0.38,0.239,1
"TM7SF3",0.0771172752351835,1.08410948355355,0.182,0.188,1
"HNRNPH3",0.0781474601411074,7.92554823145342,0.488,0.394,1
"ZNHIT3",0.0808861602116822,1.02026583599343,0.314,0.179,1
"EPS8L2",0.0809634233644606,1.65431109646819,0.331,0.199,1
"TSPYL1",0.0814120851378582,1.99802775521438,0.413,0.294,1
"OTUD5",0.0815221354995394,0.641339964124927,0.24,0.247,1
"UGGT1",0.0817036574968841,6.19581647188268,0.281,0.147,1
"PPP4R1",0.0833257901166286,1.05649673375938,0.298,0.151,1
"TMEM248",0.083408239851226,0.678241720961012,0.446,0.373,1
