"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DUS1L",0.47770405556423,4.16451122434568,0.298,0.264,1
"PRPF31",0.479024748391132,0.37115397156263,0.207,0.166,1
"INIP",0.4804740540099,3.96189072564032,0.124,0.069,1
"KDM3A",0.481522261147589,3.08416203620231,0.215,0.106,1
"TATDN2",0.481660578463396,3.10994076720763,0.14,0.089,1
"DDX3X",0.484512419296716,0.548787314056928,0.322,0.241,1
"CIRBP",0.485229705099122,2.08211765226149,0.446,0.431,1
"RPN2",0.491617770832729,0.547342232657094,0.372,0.322,1
"TMEM200A",0.492235720348444,21.1673781552896,0.132,0.091,1
"CDH6",0.492562353125052,9.2246362642499,0.132,0.037,1
"ANKRA2",0.493671442746161,1.53129378070219,0.215,0.093,1
"UTP14A",0.495179604365556,4.44954922990915,0.107,0.053,1
"GLUD1",0.496291841720602,9.53419169827511,0.306,0.203,1
"AK2",0.496373852373074,1.1773562847641,0.405,0.403,1
"TMEM219",0.497487515900488,3.00894575375233,0.413,0.417,1
"MYL6",0.497616555580189,0.808610987778671,0.446,0.436,1
"C7orf55.LUC7L2",0.499483698135955,1.29042262098649,0.273,0.164,1
"IER5",0.499636521214659,1.46860105842467,0.215,0.093,1
"RHNO1",0.500895326738546,0.563875687780302,0.132,0.083,1
"MAP2K3",0.501814022755488,0.350038175728764,0.38,0.302,1
"WASL",0.502603865796217,1.73625679017984,0.331,0.243,1
"ZNF75D",0.502898748100232,13.7671104661201,0.14,0.029,1
"ETFA",0.503689497819113,1.00081625531882,0.256,0.213,1
"POLR2M",0.504788185087971,18.6667034324783,0.14,0.103,1
"RAB9A",0.507261885746341,8.65593156842396,0.264,0.149,1
"TCF20",0.51222832130897,2.49395660822392,0.157,0.121,1
"MAP3K7",0.512859842902512,0.272859274210568,0.215,0.103,1
"LRRC58",0.513909304542867,5.98939139228515,0.19,0.159,1
"DHFRL1",0.51488821353834,6.86057652244691,0.116,0.066,1
"AP3M2",0.51533023439907,0.745084919154053,0.107,0.06,1
"DDX24",0.515425838924807,4.41910420828258,0.397,0.408,1
"TRPV6",0.517064374341701,9.21526249098608,0.19,0.04,1
"DHX38",0.517567243676399,1.16308706839167,0.182,0.16,1
"GABARAPL1",0.518034423072139,1.89549748048194,0.43,0.379,1
"LCMT1",0.518322018474776,0.435279938018332,0.314,0.236,1
"MRFAP1",0.520337533530874,0.614822924536262,0.455,0.454,1
"FBXO32",0.522778310472849,7.53591895301043,0.107,0.067,1
"SLC35A2",0.522874621621662,2.23936631032647,0.19,0.17,1
"CCDC127",0.523440619058853,2.06523777841379,0.182,0.1,1
"SDHC",0.523850266430351,1.87156632932935,0.38,0.42,1
"MFN2",0.524718280834817,2.18716384226162,0.223,0.171,1
"USP12",0.525224964192149,2.19843236731375,0.207,0.128,1
"EBP",0.525864709035495,3.97461612524053,0.264,0.149,1
"IRF3",0.527242112839435,13.2971094261085,0.248,0.195,1
"SRSF5",0.529832729198191,1.1694426588213,0.438,0.412,1
"CTDSP1",0.532502698638466,3.42064325356416,0.281,0.203,1
"CPSF7",0.533061825597545,15.001644895009,0.273,0.188,1
"ULK1",0.535045465851252,2.17608070636136,0.215,0.16,1
"ST6GALNAC4",0.535764386795325,0.313230009769121,0.231,0.156,1
"RALB",0.537032820870274,1.70035424737404,0.19,0.099,1
"SCO1",0.537069433246933,0.59995062876046,0.165,0.114,1
"PSMD9",0.53930512866289,0.63108290247374,0.372,0.279,1
"SMIM13",0.541128879947957,3.54846496344672,0.107,0.054,1
"ITCH",0.547542347930775,1.32332214785012,0.149,0.063,1
"CFL2",0.548170962952862,4.05480661209191,0.223,0.142,1
"MPV17L2",0.551171006326453,0.559319076561538,0.157,0.052,1
"PURA",0.551430653419315,3.42214884994666,0.413,0.351,1
"KIAA1217",0.555332471742235,14.8445236867712,0.14,0.06,1
"FIP1L1",0.555766840750034,1.23096535510497,0.256,0.159,1
"DEGS1",0.555965464353673,3.77091188359228,0.198,0.185,1
"RALGPS2",0.558351636109115,0.539299517785429,0.107,0.062,1
"UNC50",0.558563152967116,3.40957479572816,0.198,0.139,1
"GPR108",0.559446963777763,3.46993927231071,0.331,0.25,1
"ATP6V1A",0.562901539030477,10.3323175255546,0.372,0.353,1
"DENR",0.562988969754929,0.665087352672354,0.306,0.232,1
"PRKCD",0.566591873222015,1.42142283453869,0.215,0.118,1
"TMEM184A",0.566754764016147,3.92325290462525,0.19,0.084,1
"CDC6",0.566930209421289,2.55072908639401,0.116,0.006,1
"FOXRED1",0.568422559467759,2.31202102450753,0.124,0.081,1
"AGR3",0.57021836499706,40.5502415346152,0.157,0.003,1
"RARRES3",0.572797482398468,46.8333032950721,0.124,0.06,1
"ERBB2",0.575293775086933,1.78503736383907,0.165,0.051,1
"PPP2R5C",0.578642800499074,2.80803068648692,0.306,0.255,1
"HYI",0.581341278769009,3.8870448597838,0.331,0.233,1
"PTER",0.583410276565173,0.881417097262652,0.165,0.087,1
"JTB",0.585928154300664,0.492998157570395,0.455,0.426,1
"REPS1",0.588349016397423,3.85004385916527,0.132,0.087,1
"KANSL3",0.591004517370783,9.14855293746608,0.165,0.098,1
"EXOC5",0.592794972902753,1.61258239228223,0.281,0.194,1
"CCDC64B",0.593422216246048,7.07867951343357,0.215,0.072,1
"RABGEF1",0.594280370309589,5.30276484818974,0.116,0.055,1
"SUN2",0.59476734112665,0.46418185691186,0.372,0.305,1
"DXO",0.597281947811425,1.39438157989009,0.132,0.093,1
"FNIP1",0.598528210335018,1.28623465025297,0.223,0.157,1
"NAGK",0.599363994050964,2.01565541517557,0.24,0.204,1
"PRDM4",0.600367629535754,2.17475024879343,0.182,0.122,1
"MAPK14",0.601333380831711,1.94288463814157,0.174,0.12,1
"B3GALT4",0.604880452752078,1.79112283207973,0.116,0.078,1
"TMEM242",0.606457062617193,1.6532505694642,0.165,0.124,1
"TRIM29",0.609615776288775,139.981340928467,0.116,0.002,1
"UBALD1",0.609758352470762,4.138607779843,0.248,0.168,1
"CAPN7",0.609965757075366,4.21544470184095,0.132,0.095,1
"GTF2H1",0.610186159643972,4.42077043384524,0.149,0.092,1
"SETD8",0.612015568070735,2.16631754356493,0.149,0.084,1
"BAG5",0.615317206561351,0.579451410653238,0.231,0.133,1
"ZMYND19",0.615642592690494,1.6995378513275,0.14,0.069,1
"AMZ2P1",0.618757102870314,17.0866082884591,0.182,0.088,1
"KMT2E",0.618822336778123,1.67805311401465,0.347,0.304,1
"PPP1R35",0.61969671317712,3.95422086530922,0.256,0.174,1
"RPL4",0.619970889628112,0.255153114929917,0.446,0.404,1
"APCDD1",0.623736242952532,71.1290443635013,0.157,0.021,1
"ARMCX1",0.623932627778768,3.828496808982,0.132,0.095,1
"AGR2",0.624338569666765,290.222407640496,0.174,0.003,1
"TSC22D4",0.624574334821833,6.67228679123795,0.298,0.204,1
"SAT2",0.624783934910583,1.46900060687926,0.405,0.346,1
"AUTS2",0.626619206991715,13.1108875637013,0.124,0.043,1
"RBBP4",0.628929698042501,0.340916580729863,0.273,0.243,1
"LYSMD3",0.630033713139572,0.771417086819628,0.198,0.106,1
"AAK1",0.63057288101337,0.38414922057827,0.281,0.241,1
"PWWP2A",0.631572828571687,0.345107930407739,0.149,0.109,1
"CEBPZ",0.633403428912474,0.38261044781713,0.215,0.181,1
"SCRIB",0.634009733370565,1.14812907398442,0.198,0.118,1
"UNC119B",0.634233865771709,2.05883498409929,0.215,0.175,1
"HLCS",0.635091146897177,3.07850813312245,0.132,0.081,1
"ZDHHC12",0.635289051864666,1.0270880808941,0.198,0.141,1
"MTOR",0.635421001579905,3.5140434241018,0.149,0.083,1
"ALDH6A1",0.638445828662554,2.34809718422951,0.116,0.055,1
"RNH1",0.640112723687803,0.339051283584491,0.446,0.396,1
"ZNF384",0.640337756483899,0.529818648045217,0.198,0.109,1
"AP3S2",0.642974470489178,0.491061950079711,0.165,0.107,1
"RDH11",0.643544808238443,4.83959745178509,0.322,0.282,1
"DHRS7B",0.644500255500649,1.51888911738098,0.19,0.122,1
"SPRED2",0.644566627259749,3.57379356809422,0.157,0.07,1
"MAFG",0.64520395059101,2.89249627567836,0.339,0.261,1
"NAA50",0.645735249494529,10.4769004301466,0.355,0.265,1
"CEP170B",0.650285216196467,10.4052574303394,0.231,0.148,1
"KDM7A",0.650351832516388,4.99671877037356,0.207,0.098,1
"HNRNPA2B1",0.653125589345854,0.862826885823359,0.421,0.423,1
"IP6K2",0.655209052497831,1.55273922928827,0.339,0.271,1
"FARSB",0.655369429485197,2.9118132924978,0.273,0.196,1
"SFTA2",0.657014218061081,20.9681825340284,0.132,0.01,1
"B2M",0.658232175891026,1.91534863239192,0.537,0.416,1
"ARFGEF2",0.658352674977639,2.82203177869646,0.182,0.138,1
"H3F3A",0.662898174662452,1.62554669485971,0.512,0.453,1
"ZNF146",0.66320701682985,11.6451092770354,0.207,0.104,1
"NFATC3",0.664402666427225,3.45990714520532,0.182,0.112,1
"RGS7",0.66693111446555,2.27549078821688,0.132,0.081,1
"OSBPL2",0.667402255680919,0.453030644714329,0.223,0.124,1
"SLC20A1",0.668021667814186,4.33588158832402,0.124,0.066,1
"GBP3",0.674741888320499,0.367817762825929,0.14,0.03,1
"SLC22A5",0.674741888779534,2.3024598647974,0.116,0.047,1
"RPL14",0.675959185868007,1.20351546101799,0.405,0.374,1
"CUL4A",0.679453433201506,1.34847574808147,0.248,0.185,1
"TIMM10B",0.680592588935732,3.55794614453822,0.273,0.196,1
"ALDH2",0.685428505327356,0.866414423082063,0.256,0.145,1
"SRRM1",0.685863831836653,2.36156365990251,0.339,0.276,1
"ATXN7L3",0.688042016327686,0.673172746162269,0.223,0.198,1
"DVL3",0.690836601077055,1.00664640020644,0.231,0.188,1
"BTF3L4",0.691696275194507,2.98399002648645,0.347,0.285,1
"CCDC68",0.693252879502833,10.4148884338583,0.124,0.012,1
"GALNT1",0.694551045450842,1.85120718183421,0.248,0.167,1
"MAT2A",0.694851802940438,5.86863871453479,0.364,0.34,1
"PRDX5",0.695521840820312,0.604392862894736,0.455,0.415,1
"TMEM98",0.695658607843378,11.9367721061449,0.198,0.107,1
"CXCL17",0.696082661450357,27.7194210419035,0.182,0.064,1
"WASH6P",0.696246840133313,4.95501702930309,0.339,0.267,1
"NET1",0.696712079645128,2.05406001478086,0.207,0.105,1
"CYB5R1",0.697122683118953,3.24898299740711,0.289,0.243,1
"C5orf51",0.69761552006747,4.97142119273932,0.116,0.051,1
"XRN2",0.69779352257521,0.334361667347174,0.207,0.158,1
"DNAL4",0.702646992774873,1.70726411433914,0.215,0.148,1
"SLC22A3",0.702907833115715,18.2568986261919,0.132,0.007,1
"SLC25A42",0.703017672784407,0.446506078814803,0.107,0.065,1
"FASTK",0.703649368619851,0.354387034440513,0.314,0.279,1
"EGLN3",0.704597288495309,25.5423012101644,0.174,0.023,1
"GOLGA8B",0.706535775544734,1.73301532167173,0.124,0.067,1
"ADNP",0.70748509282284,2.78778571652517,0.215,0.152,1
"DGKA",0.709109613436858,6.22234606529363,0.149,0.067,1
"DERL3",0.709219797801195,25.0235311087558,0.124,0.027,1
"FUBP1",0.714198200469635,1.61394769145579,0.331,0.286,1
"VSIG2",0.714501985879965,47.6300563759925,0.116,0.001,1
"GCN1",0.715095888318583,6.86607873483293,0.264,0.188,1
"FAT1",0.715289287196701,16.2193205934675,0.165,0.097,1
"DHX36",0.718206310774533,0.266214024405246,0.289,0.248,1
"DDX10",0.719036546149808,7.42269015148446,0.14,0.088,1
"ARID1A",0.720310223510134,3.88849146808039,0.38,0.305,1
"RBMX",0.722651930101246,0.431303402199704,0.372,0.325,1
"PAICS",0.723012422778818,0.737411470152896,0.256,0.202,1
"DNAJC16",0.726606839896816,3.40492942777319,0.132,0.079,1
"TTC9",0.72899720236023,3.84294293830311,0.157,0.064,1
"PHACTR2",0.731947091047817,1.7366523121902,0.207,0.146,1
"PVRL4",0.732601612518677,47.4917738535231,0.124,0.051,1
"CS",0.733618601316858,6.88226402553173,0.421,0.353,1
"TOR1AIP1",0.733883370965207,0.445299534835103,0.24,0.165,1
"EGLN2",0.735012488871977,0.736158787619396,0.231,0.176,1
"STXBP2",0.737509728450662,1.50381360482369,0.281,0.194,1
"LAMTOR1",0.737551607931265,0.583503233494518,0.446,0.407,1
"SUMO2",0.738710511177687,0.975582539923466,0.446,0.43,1
"PLA2G12A",0.738752407425893,4.28940225841548,0.306,0.24,1
"INPPL1",0.739339076688461,1.92667082452667,0.24,0.19,1
"DYNC1LI1",0.739953845258921,2.42893841444208,0.198,0.135,1
"CPSF2",0.740862330417319,2.57367121234877,0.174,0.086,1
"PITX1",0.741058050500522,309.315994127379,0.157,0.002,1
"RNF113A",0.745298103561157,4.61151860859731,0.149,0.082,1
"PNO1",0.746699162974011,2.73683800343023,0.157,0.077,1
"RPS6KB2",0.747077593973235,0.431023965799758,0.24,0.179,1
"PTPN13",0.747371969092446,9.89638790425378,0.132,0.056,1
"SNAPC5",0.747918766716267,0.573118686443925,0.182,0.103,1
"ACSS2",0.749616045109419,3.41225636073165,0.19,0.076,1
"YIPF1",0.750696764772813,1.24092109967959,0.248,0.156,1
"CHST4",0.751721792356046,12.6717311829469,0.14,0.002,1
"AGPS",0.757529135063786,6.16491612873206,0.149,0.091,1
"TIPRL",0.758388049176868,4.58493972240333,0.223,0.158,1
"TMEM127",0.760219514670793,5.13151603630177,0.331,0.249,1
"SYT4",0.760430924598299,2.13522206868075,0.298,0.277,1
"SPG20",0.760910184724532,2.36579404163966,0.223,0.157,1
"BRMS1",0.761051160659905,1.31665824515387,0.182,0.108,1
"DTX2",0.762842252994176,2.18666489772917,0.174,0.099,1
"JMJD1C",0.76484639690805,0.681903163482715,0.264,0.194,1
"SRPK1",0.765128796717471,0.907761391597746,0.207,0.134,1
"UBAP2",0.766682557206907,0.982010586879135,0.24,0.145,1
"DCP1A",0.767799019065143,3.91765793558262,0.19,0.141,1
"C16orf58",0.768208981189437,3.02970113511111,0.248,0.178,1
"GADD45B",0.76952412309317,27.4274794623143,0.314,0.253,1
"PCYT1A",0.770033386936153,10.8080704904611,0.198,0.143,1
"SNX6",0.770599353684388,4.51040500821965,0.256,0.168,1
"IQCB1",0.77231214416605,1.46888792692239,0.149,0.078,1
"MED27",0.773388515953485,1.02346289036439,0.24,0.164,1
"RPL36",0.773544346553114,1.22835771119338,0.405,0.377,1
"TMEM208",0.77357267858636,1.09382534957342,0.43,0.419,1
"ZBTB7A",0.773785185058506,2.04310812745301,0.405,0.331,1
"MRPL55",0.773813520123271,4.51426593837208,0.314,0.271,1
"MDM2",0.773898527187483,1.55001510755555,0.207,0.101,1
"UBLCP1",0.774734591409944,6.98303473282505,0.165,0.083,1
"YTHDC1",0.774933019110447,2.61919316811951,0.298,0.205,1
"PRPF4",0.776067165668642,1.05991424084015,0.174,0.106,1
"FRYL",0.777201790839246,2.35434043325188,0.215,0.105,1
"SPAG7",0.78421854689695,0.934603552961003,0.364,0.286,1
"TBC1D10B",0.78606800546598,8.11504240354225,0.231,0.169,1
"RBM47",0.786110700483965,1.91023569261349,0.364,0.281,1
"B4GALT4",0.786808127683886,1.64586780912177,0.231,0.135,1
"SPAST",0.788502592867171,4.36004717200048,0.157,0.061,1
"ZNF207",0.792122694246104,2.4233605461282,0.397,0.336,1
"COPS3",0.792208262218785,2.11250444724727,0.289,0.235,1
"PLS3",0.795504550029594,12.7498039150304,0.215,0.135,1
"FBXO42",0.796475584260144,7.06099611430982,0.157,0.083,1
"VAMP7",0.796632692998198,1.41507700107274,0.157,0.083,1
"DYM",0.799533537945037,0.715686608572276,0.198,0.113,1
"POLR2J",0.7996622132323,1.52545910866153,0.421,0.357,1
"LPCAT4",0.80289511368683,5.74551084715306,0.19,0.079,1
"SQRDL",0.806002451772861,1.10944976470027,0.306,0.207,1
"ORMDL3",0.806546910812276,5.75780895112641,0.314,0.258,1
"GNB1",0.809069835719857,1.04187852035789,0.471,0.447,1
"REST",0.810346385444807,12.1706018853892,0.165,0.067,1
"PRPSAP2",0.81119291977297,0.630412698495315,0.231,0.163,1
"SCYL1",0.81216885965808,1.90548360393516,0.322,0.271,1
"NDUFA11",0.812958437528874,0.725283631470836,0.446,0.434,1
"FOXK2",0.814351423401264,3.92849055687134,0.256,0.184,1
"C16orf91",0.814653074520645,11.8932295120926,0.149,0.061,1
"UPF1",0.815845589488343,1.1867242532241,0.347,0.301,1
"SSR2",0.819166750904481,0.954585958807164,0.471,0.431,1
"PPP1CC",0.821483420803793,0.659690335715301,0.388,0.332,1
"ATP11B",0.82171373297525,1.25367352502268,0.198,0.127,1
"KIF2A",0.822764733285412,0.735152169796796,0.14,0.069,1
"ATAD3A",0.823484780909416,0.365455501718957,0.182,0.11,1
"COQ5",0.824032115993505,4.90737828181734,0.182,0.091,1
"BACH2",0.82519908924203,5.37614499878315,0.116,0.041,1
"BCAP31",0.826568257618275,0.558273053931679,0.438,0.418,1
"ITGAV",0.828053315355853,1.15540274856493,0.347,0.295,1
"ZMIZ2",0.832598793170786,7.88331043014486,0.14,0.082,1
"UBE2G2",0.834490794671391,1.54954937096571,0.248,0.198,1
"CORO1C",0.83636929958186,0.274580277995014,0.215,0.127,1
"C1QBP",0.840867032618674,1.80396571606914,0.331,0.281,1
"SEC13",0.843038225687372,1.1356092977234,0.413,0.414,1
"C15orf57",0.844312546049767,3.12834442063231,0.174,0.125,1
"DCUN1D4",0.845022288486819,2.48806806911139,0.157,0.078,1
"AXIN1",0.84789150462601,0.342348846521586,0.182,0.094,1
"IRF1",0.848761364364316,0.935311346624502,0.223,0.156,1
"TARS",0.849399379065423,2.29733505460494,0.355,0.286,1
"PI4K2A",0.849950469537442,2.93474738996138,0.207,0.115,1
"TRIM56",0.851618692459739,0.898886022159126,0.24,0.19,1
"CORO2A",0.853273062884865,18.0702323199416,0.116,0.009,1
"PEX2",0.8544489311689,2.99486568705092,0.207,0.128,1
"DDX42",0.85524754479093,2.73849939360336,0.289,0.229,1
"DLG3",0.856060829483173,0.890875872658125,0.215,0.118,1
"GLRX5",0.863678153651045,0.954730600811612,0.24,0.161,1
"CDYL",0.864900450058229,1.78248637607563,0.24,0.169,1
"PURB",0.865366171814935,5.60763812073785,0.223,0.17,1
"TRAF3IP2",0.86594838952355,2.02027432763652,0.198,0.117,1
"ANKRD13C",0.867200403980272,0.328842073760823,0.132,0.06,1
"FBXW2",0.870040504654171,4.80293298512307,0.174,0.103,1
"ORMDL1",0.870856435932408,1.88512706066125,0.322,0.287,1
"ANXA7",0.875944494329167,0.990288299939726,0.388,0.42,1
"ZNF83",0.876863519949945,0.997540236475521,0.174,0.075,1
"FAM177A1",0.876863521174783,0.300234836156333,0.38,0.316,1
"PEX13",0.882308106885343,0.363557061778793,0.157,0.085,1
"XPO5",0.884908305767907,0.483216451835366,0.165,0.098,1
"SUMO4",0.886486562095095,1.64484442287767,0.421,0.396,1
"SH3BGRL2",0.887787498366416,0.989494552063434,0.19,0.092,1
"ZNF140",0.888752433831601,7.22800589180092,0.116,0.042,1
"MAPKAPK3",0.890404903368093,2.73279833965689,0.231,0.153,1
"NR0B1",0.890668172586055,4.9009736051021,0.165,0.097,1
"USP10",0.891458053022608,1.49056378090126,0.256,0.187,1
"CDH17",0.901384348542375,152.184325939114,0.132,0.005,1
"PARP6",0.903216150393722,0.456849099515137,0.19,0.108,1
"IKZF5",0.90323080652783,2.66810022130329,0.124,0.05,1
"STK19",0.90444741126347,0.513461504148261,0.223,0.181,1
"RBM39",0.904975165445291,1.03845923491358,0.388,0.339,1
"ABHD11",0.906382711998805,0.626023527640551,0.207,0.089,1
"EMC9",0.907643889732932,0.481084245994446,0.132,0.064,1
"SMNDC1",0.907775887342073,4.56068531295205,0.19,0.137,1
"HK2",0.910049569315672,3.77658971833102,0.157,0.04,1
"SLC35F5",0.912206581933786,5.3217464685776,0.207,0.118,1
"NPR2",0.912764282527941,13.7110544045763,0.124,0.045,1
"C12orf57",0.913263316106567,2.43929331322462,0.413,0.417,1
"CRELD1",0.916919020495774,3.18397601223143,0.314,0.28,1
"DDAH2",0.918167358044953,0.75595905588574,0.322,0.237,1
"YY1AP1",0.918284858559915,6.33917668053107,0.149,0.092,1
"KNOP1",0.918387673391362,1.57180154731685,0.198,0.09,1
"GDE1",0.920253264902893,1.09653731041314,0.314,0.253,1
"MOB3B",0.922119294089891,18.9928047151186,0.14,0.051,1
"TRIM23",0.923280269968927,1.61415627646346,0.149,0.068,1
"MRPS10",0.924162133548445,0.728572138675098,0.264,0.199,1
"PPIA",0.926734763858179,0.414120891804644,0.405,0.411,1
"PDZD11",0.92836694300889,7.39289408277048,0.14,0.08,1
"COG6",0.928661062084937,2.97066321574565,0.19,0.129,1
"SUCLG2",0.928764006082701,5.46150821694851,0.264,0.177,1
"WDR48",0.928793418671309,4.89459130956591,0.19,0.112,1
"TMEM170A",0.934000973421632,0.361556825189214,0.165,0.087,1
"SLC40A1",0.934560148562902,8.37842208363626,0.223,0.15,1
"APOL2",0.93731234279006,9.01331245629753,0.182,0.091,1
"WDR45",0.937901145976614,0.292649105552481,0.207,0.137,1
"ITSN1",0.939343856116208,9.18912690960728,0.14,0.052,1
"DPH3",0.939991668978939,4.14873923248166,0.207,0.143,1
"BOD1",0.940875113727821,1.42313551377319,0.231,0.185,1
"HSP90AB1",0.941287413941343,0.475954286484961,0.471,0.455,1
"HDLBP",0.941449392713572,1.12959789331615,0.438,0.421,1
"ZPLD1",0.942112057780453,17.9712503655426,0.116,0.004,1
"GGNBP2",0.942436043266758,0.458323760858803,0.264,0.209,1
"EBLN3",0.942789491851662,1.68489083296762,0.165,0.107,1
"ABCF1",0.944247587241137,2.20572547257976,0.331,0.27,1
"SMDT1",0.945028261094272,0.469840878571928,0.43,0.431,1
"DLG1",0.950199677596565,3.44324294052271,0.198,0.128,1
"RAD17",0.950317569977335,2.81700530540349,0.19,0.137,1
"SUGP1",0.953943277878878,4.37440549859116,0.165,0.087,1
"CYP4F11",0.954311798552055,3.82756963129975,0.116,0.014,1
"SEC62",0.956832740017437,1.32361938737346,0.446,0.422,1
"RAB24",0.962156113035828,1.08455440029982,0.314,0.264,1
"ANO6",0.962303599740535,0.784135821819901,0.19,0.118,1
"FOXC1",0.964058792294463,38.2342874111189,0.14,0.039,1
"PARN",0.965194598648302,3.6506905880869,0.149,0.086,1
"LZTS2",0.971125486681298,1.96735136359522,0.207,0.124,1
"MED10",0.972955252512248,1.76459054584032,0.256,0.21,1
"MRPL57",0.9738701895137,0.320429269090045,0.405,0.391,1
"YTHDC2",0.975655889625652,4.79004747907024,0.14,0.071,1
"MFSD10",0.976777549692367,1.81524898513021,0.281,0.196,1
"MBNL2",0.977928774732182,0.67258877056329,0.256,0.192,1
"BBX",0.97866676394409,2.39899469424395,0.355,0.301,1
"SUV420H2",0.979508093491355,5.06363659020144,0.107,0.033,1
"EFHD2",0.980998926471874,0.901891107088956,0.339,0.25,1
"ADO",0.98220935445814,9.83970896107145,0.157,0.069,1
"ABCD3",0.982504587283945,1.03404157222005,0.314,0.237,1
"GOPC",0.983523158143123,4.80125537162276,0.19,0.138,1
"TMPRSS2",0.984600805837459,3.2037483993517,0.207,0.098,1
"CBLC",0.984969869818505,2.81643050735762,0.165,0.056,1
"CLGN",0.98575229609132,7.6004721486198,0.174,0.101,1
"UBA2",0.986283763360581,0.314414439515291,0.322,0.251,1
"METAP2",0.987494349847634,2.32699927516242,0.322,0.279,1
"ZNF622",0.988808311525391,6.594388489011,0.24,0.172,1
"SREK1",0.989472685985914,5.35352925191802,0.24,0.182,1
"MRRF",0.990240416587318,2.31802020304483,0.165,0.085,1
"FEZ2",0.990845749099882,0.729703773085767,0.182,0.107,1
"LSM1",0.992396014099793,1.77023453199795,0.273,0.218,1
"TNIK",0.992971834376517,19.4784076134335,0.14,0.076,1
"MMS19",0.998331528563979,4.8236345774129,0.215,0.174,1
